@relation relation_name
@attribute Number1 real
@attribute Number2 real
@attribute Number3 real
@attribute Number4 real
@attribute Number5 real
@attribute Number6 real
@attribute Number7 real
@attribute Number8 real
@attribute Number9 real
@attribute Number10 real
@attribute Number11 real
@attribute Number12 real
@attribute Number13 real
@attribute Number14 real
@attribute Number15 real
@attribute Number16 real
@attribute Number17 real
@attribute Number18 real
@attribute Number19 real
@attribute Number20 real
@attribute Number21 real
@attribute Number22 real
@attribute Number23 real
@attribute Number24 real
@attribute Number25 real
@attribute Number26 real
@attribute Number27 real
@attribute Number28 real
@attribute Number29 real
@attribute Number30 real
@attribute Number31 real
@attribute Number32 real
@attribute Number33 real
@attribute Number34 real
@attribute Number35 real
@attribute Number36 real
@attribute Number37 real
@attribute Number38 real
@attribute Number39 real
@attribute Number40 real
@attribute class {True, False}
@data
-0.06844919,0.5952165,-0.69900393,0.7687596,0.17256396,0.073169336,-0.08459252,0.36687315,-1.0395478,-0.34703379999999995,1.2698976999999998,-0.9816396000000001,-0.3568239,0.5386631,-0.013879262,0.49168208,-1.0021423,-1.0028911,-0.006820774,0.35309938,0.636181,0.5812517,-1.3263049999999998,0.83852714,0.25390820000000003,0.3671304,-0.039197937,0.358162,-1.2461323999999998,0.43787757,1.3614553999999999,-1.4159666000000002,0.06777205,-0.110930495,-0.15458612,-0.10146918,-1.1489757,-1.432872,-0.43430683,0.65467954,True
-0.7946438,0.28289738,-0.37296185,0.7389691999999999,-0.11258804,-0.6979825,0.5174926,0.5326071,-0.3171245,-0.6606966999999999,0.5110838,-0.62686116,-0.46617725,0.5700991999999999,-0.0861222,0.6173637,-0.53706753,0.13548341,0.87284833,-0.023499272999999998,0.5300251,0.13135962,-0.7295853,-0.52534276,0.32446579999999997,-1.1846956,0.5508253000000001,1.6985754000000002,-0.8166255,-0.7152231,-1.1919468999999998,-2.036124,0.9353101,-0.14687334,-1.0155898,-0.004118005300000001,-1.52465,0.7815918000000001,-0.53220093,0.83751416,False
0.16686435,0.20002685,-0.17121908,0.30065036,-0.2818805,0.23170143,-0.037786014,0.69860166,0.64477617,-0.25842488,0.9934561,-0.46002665,-0.54190534,-0.43892378,-0.33145440000000004,-0.4706519,0.19278905,-0.109303586,-0.3103114,-0.8734464,0.46702307,0.01943871,0.17043768,1.2016096,0.20636828,-0.118289344,-0.32600412,1.1477899999999999,0.321022,-0.23951195,0.43260765,-0.6274338,-0.31714234,-0.2179641,-0.92306095,-0.16732171,0.8293992,0.5873959,-0.48199302,-0.74879366,True
-0.14078729,0.14500266,-0.7807782,-0.24945250000000002,-1.0450127,-1.1105009,-0.462509,0.24199659999999998,0.5468608,0.72442406,-0.09783992,-0.63066155,0.48615834,0.3320455,-0.01497063,-0.34871018,-0.85477173,-0.22604473,-0.22602563,-0.63610995,-0.061056063,-0.3864088,0.9195281,2.5270919999999997,-0.3494375,-0.18069644,-0.06725016,0.43639399999999995,-1.6418595,0.7810164,0.49758820000000004,-0.77597016,2.7935572,0.20061211,-1.1026833,-0.92675686,0.43313372,1.2275174,-0.9201949,0.22001279999999998,False
0.030305905,-0.8660921,-0.23346075,-0.41271645,-0.65023154,-0.71717554,0.26890275,0.88374835,0.07254804,-0.6387439,0.17447184,-0.39556378,-0.089692436,1.7462002,-0.8664081,0.7595113,-0.8522962,0.60301346,-0.56630576,-1.7498738,-0.08353880000000001,0.35360706,-0.6351213000000001,-0.8521479999999999,-0.5524974,-0.22069453,0.5079337,0.8931125,0.34888825,0.21576762,0.27173498,-0.31105304,-0.1079117,1.1193208000000001,-0.26573998,0.12280045,-0.8383216,-0.13452315,0.013385495,-0.031222899,False
0.16321981,0.34180194,-0.92008376,-0.6709725000000001,0.0131000625,0.16143428,0.13586985,1.2861103999999999,-0.54964036,0.7301959,0.74115586,0.7023526999999999,0.57301396,1.726606,-0.95139873,-0.40447253,-0.30537909999999996,0.5538494,0.71944326,0.44320023,-0.5993755999999999,0.324019,-0.23857872,0.6733617,-0.14245498,-0.49821344,0.23349002,0.32921106,-0.31683663,-0.44084979999999996,0.5887253,-0.49931949999999997,-0.29272836,0.45724127,-0.18174073,0.54538494,-0.48874447,0.06981909,0.7465208999999999,-0.1450318,False
-0.031569526,0.9238767,-2.0388327,4.2878795,1.8551754,1.5774008,0.9573464,2.2956855,1.0703008,-0.9687011999999999,-0.06598489,-1.7775596000000002,0.14289875,3.0257075,0.7472579,-0.6498975,-1.9043769,-0.67703557,-2.616635,-0.29301086,-0.3348609,0.5147069000000001,-2.135087,3.6226714,2.5029998,1.5126399,0.8388968000000001,2.6417184,0.91561514,-1.2447478,-0.110942475,-1.8193111000000002,0.46110028,3.016683,0.75861084,-0.88900024,-1.8516540000000001,-0.7702177,-2.0492167,-0.8448133,True
-0.88068676,-0.17750908,0.42937186,-0.011474125,0.003302763,0.74166834,0.70708185,0.76119643,0.46374106,0.9480511,-0.061412855999999995,-1.1724146999999998,0.7520878000000001,0.24371916,0.24864146,-0.12000224,-0.15015455,0.7541444,0.015831029,-0.35089478,-0.7874066999999999,0.59461963,0.29962796,-0.29227793,0.06014153,-0.6555251999999999,0.19072066,1.100096,0.096762925,0.65318644,0.2710018,-0.98979825,0.09720534,0.7951625,1.1702143999999999,0.16192913,0.043847933,0.24585064,-0.43846682,-0.72854483,True
-0.09537017,0.44867408,1.3076608,-1.0089563,-0.88998073,-1.4601621999999999,2.3495817000000003,2.1976068,-2.2748357999999995,1.5119846000000001,1.9673165000000001,0.69692284,0.7591677,-0.017553463999999998,0.76506215,1.0910358,-0.70479536,1.5551323000000001,-1.624894,-0.48691437,0.05680272,0.70468503,0.9568671999999999,-0.53451174,-0.5592146,-1.3593563999999998,1.9595916000000002,1.6275275,-1.9750947,1.4861966,1.9682107,0.7811451,0.44855624,-0.032914575,1.1329446,0.9781204,-0.7772486,1.0808563999999998,-1.6863238,-0.68179756,True
-0.0805704,-0.49041387,0.37009257,0.5723201,-0.26771465,-0.19507155,-0.4510657,0.25629857,-0.6102894,0.810815,0.28387013,-0.75395113,0.7295545,1.0933665000000001,-0.05622312,-0.41079995,0.29809153,-0.17824638,0.72088045,-1.1261555,0.2651138,-0.38166478,-0.64081967,0.6677017,0.26070178,-1.0527483999999998,-0.10180576,0.29946712,-0.20373872,-0.09051707,0.11699883,-0.40064679999999997,0.04591569,1.2493326999999999,0.49011526,-0.07575958,0.41532907,0.19237728,0.21237189,-0.48823524,True
