@relation relation_name
@attribute Number1 real
@attribute Number2 real
@attribute Number3 real
@attribute Number4 real
@attribute Number5 real
@attribute Number6 real
@attribute Number7 real
@attribute Number8 real
@attribute Number9 real
@attribute Number10 real
@attribute Number11 real
@attribute Number12 real
@attribute Number13 real
@attribute Number14 real
@attribute Number15 real
@attribute Number16 real
@attribute Number17 real
@attribute Number18 real
@attribute Number19 real
@attribute Number20 real
@attribute Number21 real
@attribute Number22 real
@attribute Number23 real
@attribute Number24 real
@attribute Number25 real
@attribute Number26 real
@attribute Number27 real
@attribute Number28 real
@attribute Number29 real
@attribute Number30 real
@attribute Number31 real
@attribute Number32 real
@attribute Number33 real
@attribute Number34 real
@attribute Number35 real
@attribute Number36 real
@attribute Number37 real
@attribute Number38 real
@attribute Number39 real
@attribute Number40 real
@attribute Number41 real
@attribute Number42 real
@attribute Number43 real
@attribute Number44 real
@attribute Number45 real
@attribute Number46 real
@attribute Number47 real
@attribute Number48 real
@attribute Number49 real
@attribute Number50 real
@attribute Number51 real
@attribute Number52 real
@attribute Number53 real
@attribute Number54 real
@attribute Number55 real
@attribute Number56 real
@attribute Number57 real
@attribute Number58 real
@attribute Number59 real
@attribute Number60 real
@attribute Number61 real
@attribute Number62 real
@attribute Number63 real
@attribute Number64 real
@attribute Number65 real
@attribute Number66 real
@attribute Number67 real
@attribute Number68 real
@attribute Number69 real
@attribute Number70 real
@attribute Number71 real
@attribute Number72 real
@attribute Number73 real
@attribute Number74 real
@attribute Number75 real
@attribute Number76 real
@attribute Number77 real
@attribute Number78 real
@attribute Number79 real
@attribute Number80 real
@attribute class {True, False}
@data
1.3620963,-0.59975463,-0.101420805,0.3146839,-0.5537234999999999,0.3964288,0.9542058000000001,0.51443565,0.61730593,0.056575138,-0.14276639,-0.50569856,1.1096648999999998,0.26212287,0.6285074,-0.8286394,0.60063,-0.20874211,0.089361295,-0.23424345,0.4324168,-0.26251674,0.68223387,-0.15338409,0.40498418,-0.0083988095,-0.28825033,-0.6009361,0.44832936,-0.7514131,-0.41514808,-0.24130958,0.19489351,-0.18887820000000002,0.13347135,0.5842683000000001,0.3616213,0.7368852,0.14825654,-0.20180665,1.4500077,-0.7179837,-0.15333484,0.7157932,-0.31553286,0.22994156,0.5505747,0.21616012,0.7852079000000001,-0.28009063,0.39548168,-0.2074243,1.093536,0.40140826,1.0124934,-0.1683674,0.25205007,-0.4964124,0.42296663,-0.40151942,0.31393075,-0.402173,0.73670757,-0.23290655,0.61503744,-0.47458056,-0.46467543,-0.8950511999999999,0.7275529000000001,-0.267477,-0.46200904,-0.21972217,0.6157453,-0.20217715,1.1598184,0.65339625,0.38981694,1.3065802,-0.38177416,-0.53395665,True
0.41602415,-0.13078721,0.036241725,0.4007448,-0.74957615,0.28492203,0.5146993,0.39367598,0.70446485,0.5122641,-0.35776767,-0.7198669,0.5952263000000001,0.032857593,0.07185831,-0.711707,0.23662882,0.05902638,-0.53854924,-0.046426125,0.11862356,-0.01085481,0.35215630000000003,0.027907286,-0.20447287,-0.10062113,-0.7271078000000001,0.39651040000000004,-0.036905963,-0.4574143,-0.32483566,-0.29748762,-0.40554464,-0.1767725,-0.3898335,-0.18381582,-0.104036495,-0.13818271,0.750566,-0.25770864,-0.41051859999999996,0.22333285,0.76265407,0.24120419,-1.3909948,2.2471653999999996,0.06324494,0.08614886599999999,1.4601005,0.22777332,-1.3081391000000002,0.73702013,0.45093679999999997,0.27197328,-0.09022908,-1.1996208000000002,0.41112012,0.93171775,0.8660856,1.1522868999999998,-0.59801674,0.7476651,0.86061394,0.11932219,0.039123394,0.46396002,-0.5433625,-0.91053677,0.10144897,0.7602689,0.041086987,0.5644135,-0.07623833,-0.371797,0.6589792,-0.13135959,-0.05987236,1.4765043,-0.04216188,-1.4131916000000002,False
-0.24844626,-0.80734664,-0.15454333,0.6430798000000001,0.0664928,-0.14629023,0.6773084,-0.50588256,0.32684338,-0.273696,0.09039801,0.9111193000000001,0.26822954,-0.38831693,-0.041227717000000004,-0.26817307,0.28754240000000003,0.25321079999999996,-0.0043514040000000006,0.0030807053999999997,0.18533736,0.43143760000000003,-0.32498059999999995,-0.06414588,-0.2740718,0.10206745,-0.7296524,0.52274996,0.19676395,-0.18415162,0.21894705,0.35492593,0.20730036,0.3667273,0.2487151,0.33349133,0.782844,-0.31022713,0.046889855999999994,-0.21355478,-0.23536384,-0.21440019999999999,0.22083989999999998,0.33502784,-0.8632027,-0.17111619,0.71918875,-0.75725734,-0.3277835,-0.086742304,0.42146114,0.34755754,-0.03457424,-0.7745434,-0.09476325,-0.54294467,0.5366347,0.27976449999999997,-0.2653197,0.25728490000000004,0.19459176,-0.37304404,-0.7619805000000001,-0.69826686,-0.12403018,-0.31273168,-0.97404486,0.6536076999999999,0.107135504,-0.10464511,0.48823273,0.4571157,0.5224863000000001,-0.14190988,0.41759524,0.22853443,0.22426254,0.23451948,-0.23069622,-0.6831648,True
0.1514915,-0.20112087,-0.63070107,-0.40759864,-0.60259926,0.42821717,-0.47190079999999995,0.8725828999999999,0.9298558000000001,-0.3392342,0.23303793,0.46228009999999997,-0.37817943,0.39455926,-0.40008694,-0.12098682,0.20736477,0.12517391,-0.033922113,-0.22783160000000002,-0.891177,-0.21531281,0.5328973000000001,-0.009828644000000001,-0.27612424,0.42960307,-0.84735656,-0.004726123499999999,-0.37808365,0.1223721,-0.017401487,0.3638902,-0.35977846,0.06636231,0.1722028,1.0340266,-0.5172058,-0.14877622,-0.14795026,0.019774636,0.6321384,1.4132651000000003,-0.41250858,-0.25777078,-0.54034716,0.7598991999999999,-0.44978392,0.60901976,0.72723794,-0.8863274999999999,0.23558542,0.54457194,-0.47451013,-0.8392149999999999,0.6688457,0.28691858,1.463445,0.00706713,1.7819741999999998,0.18303715,0.9280323,-0.5738249,-0.69117504,0.50969476,-1.1565589,-0.5143075,-1.4893299,-0.2012864,0.5165935,-0.9573806,2.0923637999999998,0.14281529,0.07394276,0.11179807,1.631859,-0.84885335,-1.4687543,-0.2898638,1.3797786,0.028842757000000004,False
-1.0497727,-0.3787761,-0.9334299,0.5534395000000001,-0.33724004,0.07467617,0.66354865,-0.023571597000000003,0.7600912,-0.28702652,0.43256736,0.48982224,0.07195006,0.012375559,-0.38059770000000004,-1.4041415000000002,-0.014189737,-0.04603711,-0.2224768,0.78313965,-1.2531493999999999,0.31403935,-0.5358987,-0.40596172,0.50537694,0.6284913000000001,-0.5401781999999999,-0.40603036,-0.66715527,-1.0482166,0.0047340156,-0.9246651,0.5812418,0.303019,-0.3711078,-0.18631315,-0.53939974,-0.025987477999999998,0.35134104,-0.07934972,0.31368816,-0.26099098,-0.53236306,0.22512949,-0.48757744,0.02247639,-0.03335273,0.36704427,0.6659948,-0.7460207,0.023948297,0.086088024,-0.19359335,0.11811905,-0.19496518,-0.5780411,0.063840516,0.1570734,0.21458249,0.08243385,-0.5693786999999999,0.049899332000000005,-0.17243518,-0.31410936,-0.024349397000000002,0.41973809999999995,-0.14682312,0.72474444,-0.9362594000000001,0.25204906,-0.49709609999999993,-0.21653223,-0.08469605,0.25593236,0.23270608,0.027289221000000002,-0.22741674,0.86269575,0.0731388,0.468897,False
0.5094712,-0.26998615,-0.21761355,0.06598389,-0.8731013000000001,0.31399047,1.013523,-0.35911992,0.4311177,-0.950831,-0.9026254000000001,-0.33196947,-0.38164833,1.3241403,0.014381757,0.31756827,-0.13778594,-0.33117476,-0.17429914,-0.11618160000000001,-0.49166262,-0.40939295,-0.40985057,0.24558412,0.25644723,-0.040550657000000004,-0.43091893,0.39191398,-1.1368204,0.07732097,0.4801132000000001,-0.7585814000000001,0.10083479,-0.42789054,0.5839651,0.015513306499999999,-0.31486833,1.1688161,0.41024366,0.44596714,0.29021156,-0.08919882,-0.17094702,0.23635092,-0.70390624,0.16794388,0.50227165,0.4513932,0.66378754,0.3593833,-0.27371642,-0.5049835,0.4081616,0.0087719,0.18873578,-0.6324389,0.38495263,0.09233695,-0.39127308,-0.1486108,0.12422064,-0.3330706,0.21675664,0.10146204,-0.033542495,-0.12474052599999999,-0.60547996,0.15644099,0.045865465,-0.30642638,-0.2328254,-0.103445426,-0.24784535,-0.19038057,-0.42540112,-0.042530306,0.03731548,-0.012343163999999998,0.5619408,-0.06073198,False
2.7913074,0.65144366,-0.23721755,0.13792984,-2.4694684,0.20908737,1.375931,1.3562306999999998,-1.8850743000000003,-0.702688,-0.36176854,1.1451862,0.20949058,0.40999258,-0.44009185,-0.7849581999999999,0.43918950000000007,-0.7017954000000001,0.57181364,0.3645636,0.9173396999999999,-1.5555153,2.01132,-0.8470423,-0.1107422,0.48346058,-1.9417738000000002,0.7618946,0.90199536,-1.8972997999999999,-1.3473392,-0.9262867,2.475007,1.1319289,0.9267678,2.3636353,-0.5251815,0.90020436,0.3249466,-1.4867864,3.0157456000000002,0.67676795,0.25633466,0.44215873,-2.5658734,-0.15340684,1.5891988000000001,1.0717079999999999,-2.0452494999999997,-0.4870294,-0.24764019,1.3605027,0.022961542,0.31286532,-0.4130210999999999,-0.5559026,1.0268214,-0.6535281999999999,0.75497264,0.28412459999999995,0.61548877,-1.5472745,1.687397,-0.83815765,0.027160792000000003,0.64872813,-1.6027266000000002,0.8899009,0.9946280999999999,-2.3970985000000002,-1.6414479,-1.2724123999999999,2.0871212,1.2905837,0.8161828000000001,1.9683055,-1.020483,1.2201831,0.50487196,-1.2550404,True
-0.1275996,-0.026548525,0.5361618,0.30571035,0.4719429,0.29196334,-0.3610978,-0.41858435,-0.5411001999999999,-0.06901103,0.21930070000000002,0.026673052000000003,0.15403853,0.7087419,-0.23104568,-1.0949004999999998,0.44991678,0.5096414,0.1336322,-0.13707766,-0.25633854,-0.09752723,0.11564409,-0.032581054,-0.489791,-0.25365758,-1.1233289,0.28591925,0.030145692,0.2007269,-0.6170032,0.425559,0.39156425,1.0387182,-0.075341605,-0.06750964,-1.2734843,0.08663305,0.47899994,0.37720087,0.15747379999999997,0.14202207,-0.059157677,0.6669153,-0.20622599,0.6692015,0.3417295,0.60846317,-0.17566097,-0.8244763,-0.063136645,-0.2231833,0.37218562,0.11684392,-0.17916559,-0.48983923,-0.047373797999999995,0.39186242,0.38471186,-0.22160113,-0.30091196,0.40694752,-0.22845468,-0.4431799,0.058778185,-0.20783205,-1.115693,0.12491193,0.32306936,0.08297494,-0.021899229,0.3261906,-0.5267345999999999,0.6970885,-0.7680672,0.60299015,-1.1569538000000001,0.13455379999999997,0.084453955,0.5837266999999999,True
0.63003343,-0.95227045,-0.44598770000000004,-0.6317149999999999,-0.77566314,0.5765164,0.13231473,1.0524930000000001,1.4006497,-1.1374117,0.15367447,-0.30328829999999996,0.37146842,0.73383325,0.13986154,-0.14227375,-2.310739,1.9289271000000001,1.4518813,-0.23700464,0.29215209999999997,0.7832172,-2.0325139,0.15251954,-0.030478911,-1.3081381,-0.35708090000000003,-1.0322717,0.17962159,-0.43653375,-0.19658792,0.22711411,-1.0804268,0.22375494,0.08413417,0.023540047999999997,-1.451491,-0.99015105,1.9953327,-0.46086678,0.8529458000000001,-0.63083917,-0.39931455,-0.562624,-0.28244677,0.38729867,0.20133652,1.3417115,1.2175955,-1.157576,0.24279621,-0.39321205,0.111491166,0.46841905,0.32703903,-0.37425902,-2.3519804,1.3360279,1.6414400000000002,-0.24962923,0.13820367,0.7915576,-1.8363252,0.019354243,0.04917498,-1.5660608999999999,-0.1173825,-0.7929831999999999,0.38410609999999995,-0.32465965,-0.24317935,0.21686159,-0.7094961,0.39969963,0.17820992,0.29231957,-0.7375574,-0.99046946,1.7052462,-0.29552048,True
0.03571289,0.63697696,0.017392548,0.31092685,-0.27288622,0.52206004,0.34595838,0.28272098,0.41531876,0.49028352,0.37659386,0.1494896,-0.18008713,0.123445645,0.20568512,-0.1471802,0.3999999,-0.463859,0.17594734,0.1837724,-0.43957722,0.0008923318,-1.1456572,1.1479278,-0.97953564,-0.6218741999999999,-0.65585446,0.17402065,-0.47913490000000003,-0.114115834,-0.22517349,0.57067305,0.20100197,0.13786995,-0.17060256,0.933883,-0.7846076,-0.09589895,0.012426283,0.54774314,-0.18362343,0.09102761,-0.13432783,-0.010270412,-0.14873657,0.05781767,0.61667454,0.52487063,0.010357839,0.11477074,0.68190336,-0.33970213,0.020719532,-0.24756564,-0.5005277,-0.7053683000000001,-0.27055326,-0.39084148,-0.37158743,0.29210790000000003,-0.26128809999999997,-0.65142643,-0.56981933,-0.24700001,-1.2791523999999999,-0.23807003,-0.3899877,-0.019573843,-0.13157083,0.12062255,-0.19256702,-0.34430700000000003,0.14244817,-0.048570987,-0.31543590000000005,0.72907853,-0.74296355,0.31829050000000003,-0.0972862,-0.15951023,True
