@relation wekaa10

@attribute Number1 numeric
@attribute Number2 numeric
@attribute Number3 numeric
@attribute Number4 numeric
@attribute Number5 numeric
@attribute Number6 numeric
@attribute Number7 numeric
@attribute Number8 numeric
@attribute Number9 numeric
@attribute Number10 numeric
@attribute Number11 numeric
@attribute Number12 numeric
@attribute Number13 numeric
@attribute Number14 numeric
@attribute Number15 numeric
@attribute Number16 numeric
@attribute Number17 numeric
@attribute Number18 numeric
@attribute Number19 numeric
@attribute Number20 numeric
@attribute class numeric
@data
0.48676994,0.84631,0.6931706,0.18095237,-0.26838446,-0.30653298,-1.0475693000000001,-0.013948862,0.8538681999999999,-0.6850871000000001,-0.014557023999999998,1.0463171,0.63066036,-0.11276164,-0.9818462,-0.5041651,-0.9126583,-0.98811823,1.6166883,-1.3937925,1
1.2942513,0.2513544,0.7193589,-0.5089758,0.5798327,-0.34453395,-0.48331857,1.0840127,0.26349622,-0.39019227,1.1183366000000001,-0.2874085,0.9049364,-0.1072972,0.53466445,0.20918682,1.9599402,-0.9114034,0.41082412,-2.7546237000000002,0
0.3047276,0.41955397,0.60453385,0.14960074,0.29985628,0.35508427,0.099822946,-0.32534242,0.98716325,0.15338667,-0.12542419,-0.07945038,0.9961542999999999,-0.41631144,1.1062906000000001,-0.73731095,0.7706905,-0.46677497,1.4739575,0.18877023,1
1.0297151,1.1062379,-0.363245,-0.91138375,-1.0237730999999999,0.10339827,0.54112035,-0.11182489,-0.25868887,-0.61839837,2.2333388,-0.6483614999999999,-0.16142139,-0.37150890000000003,-0.44916207,-3.4754339999999995,1.1899110000000002,-1.2015642,0.8385453000000002,-0.43465,0
1.8759935,-0.16916078,0.43699226,-1.7797023,0.3761884,1.1877494,1.5808488,0.37789770000000006,-0.32188284,0.4394827,0.7480659000000001,0.7720494000000001,0.39488113,-0.8832196,-0.15966789999999997,1.0446780999999998,0.57842916,0.20323019,-0.19884354,-0.9865430000000001,0
0.97217494,0.26030445,1.184352,-0.9930319,-0.959591,0.46419093,-0.6563866999999999,-0.38144508,-0.801443,-1.3608698000000001,1.1044501,0.22003302,0.6450604,-0.4190218,0.39001116,-0.2329665,-0.48370638,0.87764436,0.27550665,-0.22525585,0
1.9882342,2.9788202999999998,-0.6144383000000001,0.12001447400000001,0.519594,-0.97614086,2.9167824,-2.8901982000000004,5.4282975,-0.3578785,2.2052624,2.2966077,-1.1076803,0.04595292,0.7563139,-0.91026694,2.6233034,-2.5587014999999997,5.166245,-0.24362127,1
0.38629436,-0.21344402,-0.50657535,-0.9654004999999999,-0.33065659999999997,0.32055202,0.95158905,0.45184454,1.1944152,-0.13680679,0.02656116,1.5341352,-0.57722753,-1.494508,0.055068724000000006,0.37342104,0.6925368000000001,0.28401837,0.84621316,-0.24035956,1
0.84220886,2.216514,2.4188187,-1.3567027,-0.8291124,1.9847302,0.6835315,-2.952068,-0.074138604,0.45996970000000004,0.68779,2.140191,1.7426254,-1.2268412,-0.7305031,1.5705118,0.4425292,-2.6576009999999997,0.07038246,0.39986035,1
0.7183864000000001,-0.13508084,-0.42790627,-1.3017104,-0.8749697,-0.8416723,-0.062565625,0.7334946,0.64359105,0.24568729,0.39419770000000004,0.0017885276999999998,-0.33686304,-1.5211218999999998,0.18455991,-0.81919324,0.016009018,0.44511229999999996,0.25687957,-0.13917202,1
0.9779923,0.8955495000000001,0.31163463,-0.295852,-0.28162163,0.24803825,0.060069118,0.5098652,-0.108891405,-0.7684208,0.95076966,0.8513782,0.5035582000000001,0.05815085,-0.14747617,-0.32134786,-0.19824971,0.5292340999999999,0.25558013,-0.71696824,1
1.7572037,0.7666229999999999,1.2713261999999999,-0.2850519,0.36694363,0.39933655,0.4983688,2.0220766,0.5425191999999999,-0.13672379,1.1044501,0.22003302,0.6450604,-0.4190218,0.39001116,-0.2329665,-0.48370638,0.87764436,0.27550665,-0.22525585,1
0.81900215,-0.12044091,0.5054088,-1.458593,0.29645512,-0.31821987,-0.44758594,-0.30082965,-0.6226921,-0.9089879999999999,0.6875076999999999,0.054894958,0.5195245,-1.2458035,0.26402774,-0.24444765,-0.5155619,-0.23181329999999997,-0.47271599999999997,-0.8732724000000001,1
-0.06066766,1.6480153999999998,-0.63301945,-1.763416,0.11676214,0.44436090000000006,0.6929564,0.10301178,0.972166,-0.27866653,0.717167,0.28471184,2.3126729,0.47028324,1.0927622,0.07594453,-0.28110576,-0.9906588,0.905817,-1.0812005,0
0.2697093,2.0084233,-0.85738295,-1.6166089,-0.009348420999999999,-0.2409663,0.44788155,0.08840013,0.85471976,-0.30325848,0.9007440999999999,0.9161454,0.3206354,-1.5631455,-0.005818584,0.36788252,0.61411893,0.40357003,-0.6127530999999999,-0.22469361,0
0.5706339,-0.9950504000000001,2.6614287,-1.5752073999999998,-3.3301208,1.7960863,-0.46033370000000007,-1.2368033,1.0927904,-1.6644763999999999,0.47054908,-0.9453353000000001,1.9632958999999999,-1.3338517,-2.8243115000000003,1.4546899,-0.2719243,-1.1447493,0.6685873,-1.3006027,1
-0.42668185,0.26060520000000004,1.2716641000000002,-0.35956118,0.90152603,-0.89960873,-0.051753834000000005,-1.0286075000000001,1.6035792,-0.42513490000000004,1.6225125,0.0014016697,0.39333484,-1.4379159,0.37458012,0.90013814,1.315416,0.26530929999999997,-0.42603820000000003,0.35634735,0
1.0507001,0.9653857,-0.38374296,-0.9750548000000001,-1.0008569,0.22113785,0.57602,-0.14151038,-0.23733369,-0.33707919999999997,1.1547405000000002,0.8361620999999999,0.8063068,-1.1700972,0.48736864,0.8792719999999999,0.6229974,0.65797687,-0.2773178,0.18221034,0
1.2900115,-0.8886344,-0.31256688,-1.2283950000000001,-0.9547424999999999,0.25848716,0.38824975,-1.2515018999999998,0.13170023,0.2024318,1.091821,0.9000215,-0.19961941,-0.8098523,-0.7819944000000001,0.25068334,0.37801185,-0.10259580000000001,-0.2786067,-0.46118745,1
2.5288804,2.8907127,-2.9757228,-2.8892849999999997,0.09060286,-2.069603,2.1472442000000003,-5.296198400000001,4.1027718,-0.49517465,2.8519400000000004,3.2955866,-2.9989471,-2.9548217999999995,-0.14684318,-2.5236158,3.0737956000000004,-6.0254145,4.5327519999999994,-0.1962461,1
-0.082349665,1.8561089,-0.64302295,-1.8283061999999999,-0.08423924,0.27763414,0.8458300999999999,0.095083885,0.95972097,-0.3492148,1.0215771999999999,0.027752798,0.85328007,-0.44386279999999995,0.35196447,-0.38686149999999997,-0.55160046,0.8533046000000001,0.2557741,-0.27659422,0
-0.024257816,1.6317131999999999,-0.59348404,-1.646653,-0.0517351,0.46405277,0.6486568,0.17370798,0.9640108000000001,-0.27780688,0.02656116,1.5341352,-0.57722753,-1.494508,0.055068724000000006,0.37342104,0.6925368000000001,0.28401837,0.84621316,-0.24035956,1
0.14194758,0.36939836,-0.49099407,-1.7226608,0.9013351000000001,0.7423928000000001,0.49883232,0.31185648,1.228604,-0.39544606,1.3569642,1.0555108,0.22724143,-1.0503722,-0.09488967,0.46613409999999994,0.5507265,0.54025424,-0.39655098,-0.05733099,0
1.212008,0.6713564000000001,-0.010144997,0.3951834,-0.6210531,0.49197006,0.29626217,0.24884616,1.2254534,-0.44166052,1.091821,0.9000215,-0.19961941,-0.8098523,-0.7819944000000001,0.25068334,0.37801185,-0.10259580000000001,-0.2786067,-0.46118745,1
0.9856232,1.2533069,-0.60235107,-1.1210951,0.46872547,0.04446742,0.20912546,0.08347777,0.12356046,-0.44110370000000004,1.091821,0.9000215,-0.19961941,-0.8098523,-0.7819944000000001,0.25068334,0.37801185,-0.10259580000000001,-0.2786067,-0.46118745,1
1.0805143999999998,0.32898003,0.7078269,-1.9573759999999998,0.73113585,-0.24224119,-0.759904,-0.40930259999999996,-0.6679288000000001,-1.0267028,1.5838033999999999,0.024025993,-0.97605777,-0.6987168,0.065753296,-2.2577262000000005,1.0038179,0.12909886,1.417826,-1.2645296999999998,0
0.55269116,1.2109648000000002,-0.09508468,-1.4679985,-0.5220825,0.47451750000000004,-0.37240583,-0.11596092599999999,0.5513670999999999,1.09945,1.1074973,0.15387493,0.48733404,-1.0555149,-0.21831708,0.04824998,1.1262901,0.3454184,-0.75469005,-0.5422352,0
2.7333388,1.5690648999999999,0.86825377,0.24636722,0.13107708,-3.1750534,-1.1513959999999999,-0.9762434999999999,1.1644027,-1.668173,1.9045193999999999,1.2256638000000002,0.49771354,0.19161019,0.11106008,-2.2883787,-0.807135,-0.967864,0.7283917,-1.3482709,1
-0.18216139,0.26567948,0.3172056,-0.8225341,-0.11493003,0.7396427,0.012714706999999999,0.12669428,1.6617456999999998,0.58015853,0.02656116,1.5341352,-0.57722753,-1.494508,0.055068724000000006,0.37342104,0.6925368000000001,0.28401837,0.84621316,-0.24035956,1
